,,0
AutoOwn2p,E8_Ret,0.5956708927544075
AutoOwn2p,E_LowWageWk,0.5502189703912571
AutoOwn2p,E_MedWageWk,0.5272179702388615
Pct_AO2p,AutoOwn0,-0.7081470491864766
Pct_AO2p,Pct_AO0,-0.787636248003562
Pct_AO2p,Pct_AO1,-0.8147737813985445
Pct_AO2p,AutoOwn2p,0.5217904249493922
Pct_AO2p,Pct_AO2p,1.0
Pct_AO2p,D1A,-0.508136675862561
Pct_AO2p,D1B,-0.5052496802022857
Pct_AO2p,D1C8_HLTH,-0.5077653121382737
Pct_AO2p,D3AMM,-0.5543002552048275
Pct_AO2p,D3BMM3,-0.5390020204706976
Pct_AO2p,D3BMM4,-0.5872408969743333
Pct_AO2p,D4C,-0.601602747634825
Pct_AO2p,D5BR,-0.5969094441234241
Pct_AO2p,D5BE,-0.612414464642069
Workers,TotPop,0.8665593855167585
Workers,CountHU,0.5236684662169703
Workers,HH,0.8314832245324509
Workers,AutoOwn1,0.5809410961636723
Workers,AutoOwn2p,0.7788597089254128
Workers,Workers,1.0
Workers,R_LowWageWk,0.911620760773451
Workers,R_MedWageWk,0.8524526522770387
Workers,R_HiWageWk,0.918884368471795
Workers,TotEmp,0.6738745750074977
Workers,E5_Ret,0.6951804513508508
Workers,E5_Svc,0.5789773346847289
Workers,E8_Ret,0.6951804513508508
Workers,E8_Svc,0.5527013516384687
Workers,E_LowWageWk,0.6487929103014886
Workers,E_MedWageWk,0.641602505833033
Workers,E_HiWageWk,0.5902867494529781
R_LowWageWk,TotPop,0.8233202512638697
R_LowWageWk,CountHU,0.5990925780772351
R_LowWageWk,HH,0.7896762551796408
R_LowWageWk,AutoOwn1,0.5937509725525242
R_LowWageWk,AutoOwn2p,0.728369096978377
R_LowWageWk,Workers,0.911620760773451
R_LowWageWk,R_LowWageWk,1.0
R_LowWageWk,R_MedWageWk,0.896591749441431
R_LowWageWk,R_HiWageWk,0.7089601668345672
R_LowWageWk,TotEmp,0.6076696711071915
R_LowWageWk,E5_Ret,0.679057479891639
R_LowWageWk,E5_Svc,0.5061775114142785
R_LowWageWk,E8_Ret,0.679057479891639
R_LowWageWk,E_LowWageWk,0.7204446848207837
R_LowWageWk,E_MedWageWk,0.6575976141543021
R_MedWageWk,TotPop,0.8225394234815008
R_MedWageWk,CountHU,0.5585943379080681
R_MedWageWk,HH,0.7807602045196185
R_MedWageWk,AutoOwn1,0.6492993855322765
R_MedWageWk,AutoOwn2p,0.6835786362023468
R_MedWageWk,Workers,0.8524526522770387
R_MedWageWk,R_LowWageWk,0.896591749441431
R_MedWageWk,R_MedWageWk,1.0
R_MedWageWk,R_HiWageWk,0.5879980871828543
R_MedWageWk,TotEmp,0.5122846973324845
R_MedWageWk,E5_Ret,0.6058471927234561
R_MedWageWk,E8_Ret,0.6058471927234561
R_MedWageWk,E_LowWageWk,0.566093424702116
R_MedWageWk,E_MedWageWk,0.6622144698372101
R_HiWageWk,TotPop,0.7375859127157295
